78	1	0	0	1	0	0	0
47	1	0	1	1	0	0	0
69	1	0	1	1	0	1	1
75	2	0	1	1	1	1	1
83	1	1	0	1	1	0	0
38	1	0	0	1	1	0	0
66	2	2	1	1	1	1	1
76	1	3	0	1	0	1	0
94	1	0	0	0	0	1	0
56	1	2	0	1	0	0	0
65	1	0	0	1	0	1	1
50	1	4	0	1	1	0	0
66	1	0	0	1	1	1	1
43	1	0	0	1	1	0	0
64	1	0	1	0	0	1	1
60	2	5	0	1	1	0	0
91	1	0	0	0	1	1	1
66	2	6	0	0	1	1	1
63	1	7	0	0	1	1	1
58	2	5	0	0	1	0	0
56	1	7	0	0	0	1	0
81	2	0	0	0	1	1	1
76	2	0	0	0	1	0	0
76	2	0	0	0	1	1	1
26	1	5	0	0	1	1	1
74	2	0	0	0	1	0	0
46	1	8	0	0	1	0	0
53	1	0	0	0	1	1	1
60	1	0	0	0	1	1	1
66	1	9	0	0	1	1	1
75	1	0	0	0	1	0	0
96	1	0	0	0	1	1	1
83	2	0	0	0	1	0	0
87	1	0	0	0	1	1	1
59	2	4	0	0	1	0	0
60	1	0	0	0	1	1	1
73	1	5	0	0	1	0	0
68	1	0	0	0	1	1	1
69	2	4	0	1	0	0	0
68	1	0	0	0	1	1	1
60	1	0	0	0	1	0	0
63	2	0	0	0	1	1	1
59	1	0	0	0	1	0	0
26	1	0	0	1	1	1	1
89	1	10	0	1	1	0	0
59	1	2	0	1	0	1	1
65	2	0	0	1	0	0	0
57	1	11	0	1	1	0	0
77	1	0	0	1	1	1	1
73	2	0	0	0	1	1	1
58	2	8	0	0	1	0	0
73	1	0	0	0	1	0	0
60	1	0	0	0	1	0	1
65	1	0	0	0	1	1	1
67	1	0	0	0	0	1	0
